..
Name                                                                                                                              OS       Location                                                                                                                                                                                                                                                 
03f55de797f546a1b29d1b8d66be687a__VS-2015-Comm-VSU3-AzureSDK-29-WS2012R2-2017-05-17                                               Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
03f55de797f546a1b29d1b8d66be687a__VS-2015-Comm-VSU3-AzureSDK-29-WS2012R2-2017-06-07                                               Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
03f55de797f546a1b29d1b8d66be687a__VS-2015-Ent-VSU3-AzureSDK-29-WS2012R2-2017-05-17                                                Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
03f55de797f546a1b29d1b8d66be687a__VS-2015-Ent-VSU3-AzureSDK-29-WS2012R2-2017-06-07                                                Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
03f55de797f546a1b29d1b8d66be687a__VS-2017-Comm-WS2016-2017-04-25                                                                  Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
03f55de797f546a1b29d1b8d66be687a__VS-2017-Comm-WS2016-2017-05-24                                                                  Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
03f55de797f546a1b29d1b8d66be687a__VS-2017-Comm-WS2016-2017-06-15                                                                  Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
03f55de797f546a1b29d1b8d66be687a__VS-2017-Comm-v152-WS2016-2017-05-09                                                             Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
03f55de797f546a1b29d1b8d66be687a__VS-2017-Comm-v152-WS2016-2017-05-31                                                             Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
03f55de797f546a1b29d1b8d66be687a__VS-2017-Comm-v152-WS2016-2017-06-15                                                             Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
